ID,Date,title,category,account,amount,currency,type,transfer_amount,transfer_currency,to_account,receive_amount,receive_currency,description,due_date
1,11-08-2024,Karthik,Bills & Fees,Savings Bank,45,INR,EXPENSE,0,None,None,0,None,No-description,None
2,10-08-2024,Juice,Food & Drinks,Cash,40,INR,EXPENSE,0,None,None,0,None,No-description,None
3,09-08-2024,Tire,Transport,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
4,07-08-2024,Baba,Bills & Fees,Savings Bank,200,INR,EXPENSE,0,None,None,0,None,No-description,None
5,04-08-2024,Reward,Bills & Fees,Salary Bank,4,INR,INCOME,0,None,None,0,None,No-description,None
6,04-08-2024,Baba,Bills & Fees,Savings Bank,500,INR,EXPENSE,0,None,None,0,None,No-description,None
7,02-08-2024,Grocery,Bills & Fees,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
8,02-08-2024,Petrol,Transport,Savings Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
9,02-08-2024,Adjust balance,Unknown,Cash,74,INR,EXPENSE,0,None,None,0,None,No-description,None
10,02-08-2024,Adjust balance,Unknown,Savings Bank,102,INR,EXPENSE,0,None,None,0,None,No-description,None
11,01-08-2024,Haircut,Bills & Fees,Savings Bank,152,INR,EXPENSE,0,None,None,0,None,No-description,None
12,01-08-2024,Baba,Bills & Fees,Savings Bank,500,INR,EXPENSE,0,None,None,0,None,No-description,None
13,31-07-2024,Print,Bills & Fees,Savings Bank,22,INR,EXPENSE,0,None,None,0,None,No-description,None
14,31-07-2024,License,Bills & Fees,Savings Bank,300,INR,EXPENSE,0,None,None,0,None,No-description,None
15,26-07-2024,Noodles,Food & Drinks,Savings Bank,70,INR,EXPENSE,0,None,None,0,None,No-description,None
16,20-07-2024,Adjust balance,Unknown,Savings Bank,0,INR,INCOME,0,None,None,0,None,No-description,None
17,20-07-2024,Breakfast,Food & Drinks,Cash,30,INR,EXPENSE,0,None,None,0,None,No-description,None
18,20-07-2024,Maa,Bills & Fees,Cash,50,INR,EXPENSE,0,None,None,0,None,No-description,None
19,15-07-2024,Adjust balance,Unknown,Cash,3,INR,EXPENSE,0,None,None,0,None,No-description,None
20,15-07-2024,Rent,Bills & Fees,Savings Bank,"3,800.00",INR,EXPENSE,0,None,None,0,None,No-description,None
21,14-07-2024,Grocery,Bills & Fees,Cash,171,INR,EXPENSE,0,None,None,0,None,No-description,None
22,14-07-2024,Grocery,Bills & Fees,Cash,90,INR,EXPENSE,0,None,None,0,None,No-description,None
23,12-07-2024,Adjust balance,Unknown,Salary Bank,41,INR,INCOME,0,None,None,0,None,No-description,None
24,12-07-2024,Baba,Bills & Fees,Savings Bank,300,INR,EXPENSE,0,None,None,0,None,No-description,None
25,12-07-2024,Adjust balance,Unknown,Cash,50,INR,EXPENSE,0,None,None,0,None,No-description,None
26,12-07-2024,No title,Unknown,Savings Bank,50,INR,EXPENSE,0,None,None,0,None,No-description,None
27,10-07-2024,Maa,Bills & Fees,Cash,50,INR,EXPENSE,0,None,None,0,None,No-description,None
28,10-07-2024,Breakfast,Food & Drinks,Cash,30,INR,EXPENSE,0,None,None,0,None,No-description,None
29,07-07-2024,Breakfast,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
30,03-07-2024,Netflix,Bills & Fees,Savings Bank,199,INR,EXPENSE,0,None,None,0,None,No-description,None
31,03-07-2024,Baba,Bills & Fees,Savings Bank,200,INR,EXPENSE,0,None,None,0,None,No-description,None
32,02-07-2024,Lunch,Food & Drinks,Cash,120,INR,EXPENSE,0,None,None,0,None,No-description,None
33,01-07-2024,Baba,Bills & Fees,Savings Bank,500,INR,EXPENSE,0,None,None,0,None,No-description,None
34,01-07-2024,Recharge,Bills & Fees,Savings Bank,259,INR,EXPENSE,0,None,None,0,None,No-description,None
35,01-07-2024,Printouts,Bills & Fees,Salary Bank,13,INR,EXPENSE,0,None,None,0,None,No-description,None
36,01-07-2024,Printouts,Bills & Fees,Cash,42,INR,EXPENSE,0,None,None,0,None,No-description,None
37,30-06-2024,Biryani,Food & Drinks,Savings Bank,520,INR,EXPENSE,0,None,None,0,None,No-description,None
38,30-06-2024,Breakfast,Food & Drinks,Salary Bank,60,INR,EXPENSE,0,None,None,0,None,No-description,None
39,30-06-2024,Baba,Bills & Fees,Savings Bank,"2,000.00",INR,EXPENSE,0,None,None,0,None,No-description,None
40,30-06-2024,Adjust balance,Unknown,Savings Bank,71,INR,INCOME,0,None,None,0,None,No-description,None
41,29-06-2024,Juice,Food & Drinks,Cash,20,INR,EXPENSE,0,None,None,0,None,No-description,None
42,29-06-2024,Cab,Transport,Cash,180,INR,EXPENSE,0,None,None,0,None,No-description,None
43,29-06-2024,Snacks,Food & Drinks,Cash,30,INR,EXPENSE,0,None,None,0,None,No-description,None
44,29-06-2024,Chai,Food & Drinks,Cash,20,INR,EXPENSE,0,None,None,0,None,No-description,None
45,29-06-2024,Recharge,Bills & Fees,Savings Bank,266.9,INR,EXPENSE,0,None,None,0,None,No-description,None
46,28-06-2024,Curd,Food & Drinks,Cash,25,INR,EXPENSE,0,None,None,0,None,No-description,None
47,28-06-2024,Adjust balance,Unknown,Cash,30,INR,EXPENSE,0,None,None,0,None,No-description,None
48,28-06-2024,Tea,Food & Drinks,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
49,28-06-2024,Water,Food & Drinks,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
50,28-06-2024,Adjust balance,Unknown,Cash,358,INR,EXPENSE,0,None,None,0,None,No-description,None
51,27-06-2024,Water,Food & Drinks,Cash,40,INR,EXPENSE,0,None,None,0,None,No-description,None
52,27-06-2024,Bus,Transport,Cash,20,INR,EXPENSE,0,None,None,0,None,No-description,None
53,27-06-2024,Metro,Transport,Cash,20,INR,EXPENSE,0,None,None,0,None,No-description,None
54,27-06-2024,Haldiram,Food & Drinks,Cash,207,INR,EXPENSE,0,None,None,0,None,No-description,None
55,27-06-2024,Tickets victoria,Bills & Fees,Cash,100,INR,EXPENSE,0,None,None,0,None,No-description,None
56,27-06-2024,Lunch,Food & Drinks,Cash,95,INR,EXPENSE,0,None,None,0,None,No-description,None
57,27-06-2024,Ferry,Transport,Cash,50,INR,EXPENSE,0,None,None,0,None,No-description,None
58,27-06-2024,Baba,Bills & Fees,Cash,500,INR,EXPENSE,0,None,None,0,None,No-description,None
59,27-06-2024,Museum,Bills & Fees,Savings Bank,150,INR,EXPENSE,0,None,None,0,None,No-description,None
60,27-06-2024,Bus,Transport,Cash,20,INR,EXPENSE,0,None,None,0,None,No-description,None
61,27-06-2024,Metro,Transport,Salary Bank,10,INR,EXPENSE,0,None,None,0,None,No-description,None
62,27-06-2024,Grocery,Bills & Fees,Cash,200,INR,EXPENSE,0,None,None,0,None,No-description,None
63,27-06-2024,Withdraw,Bills & Fees,Salary Bank,0,INR,TRANSFER,"2,500.00",INR,Cash,"2,500.00",INR,No-description,None
64,26-06-2024,Cab,Transport,Salary Bank,200,INR,EXPENSE,0,None,None,0,None,No-description,None
65,26-06-2024,Train,Transport,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
66,24-06-2024,Tickets,Bills & Fees,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
67,23-06-2024,Maa stuff,Bills & Fees,Salary Bank,240,INR,EXPENSE,0,None,None,0,None,No-description,None
68,23-06-2024,Toto,Transport,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
69,23-06-2024,Snacks,Food & Drinks,Salary Bank,70,INR,EXPENSE,0,None,None,0,None,No-description,None
70,23-06-2024,Adjust balance,Unknown,Salary Bank,102,INR,EXPENSE,0,None,None,0,None,No-description,None
71,23-06-2024,Snacks,Food & Drinks,Salary Bank,44,INR,EXPENSE,0,None,None,0,None,No-description,None
72,23-06-2024,Shaka pola,Bills & Fees,Salary Bank,600,INR,EXPENSE,0,None,None,0,None,No-description,None
73,21-06-2024,Tickets,Transport,Salary Bank,40,INR,EXPENSE,0,None,None,0,None,No-description,None
74,20-06-2024,Adjust balance,Unknown,Salary Bank,60,INR,EXPENSE,0,None,None,0,None,No-description,None
75,20-06-2024,Lunch,Food & Drinks,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
76,20-06-2024,Recharge,Bills & Fees,Salary Bank,259,INR,EXPENSE,0,None,None,0,None,No-description,None
77,19-06-2024,Shave,Bills & Fees,Salary Bank,20,INR,EXPENSE,0,None,None,0,None,No-description,None
78,17-06-2024,Water,Food & Drinks,Cash,20,INR,EXPENSE,0,None,None,0,None,No-description,None
79,17-06-2024,Tickets,Transport,Cash,260,INR,EXPENSE,0,None,None,0,None,No-description,None
80,17-06-2024,Water,Food & Drinks,Cash,20,INR,EXPENSE,0,None,None,0,None,No-description,None
81,17-06-2024,Ticket Refund,Bills & Fees,Salary Bank,"1,570.72",INR,INCOME,0,None,None,0,None,No-description,None
82,17-06-2024,Lunch,Food & Drinks,Salary Bank,250,INR,EXPENSE,0,None,None,0,None,No-description,None
83,17-06-2024,Adjust balance,Unknown,Cash,120,INR,EXPENSE,0,None,None,0,None,No-description,None
84,16-06-2024,Baba,Bills & Fees,Cash,500,INR,EXPENSE,0,None,None,0,None,No-description,None
85,16-06-2024,Cab,Transport,Salary Bank,170,INR,EXPENSE,0,None,None,0,None,No-description,None
86,16-06-2024,Snacks,Food & Drinks,Salary Bank,200,INR,EXPENSE,0,None,None,0,None,No-description,None
87,16-06-2024,Chotu,Bills & Fees,Cash,500,INR,EXPENSE,0,None,None,0,None,No-description,None
88,16-06-2024,Withdraw,Bills & Fees,Salary Bank,0,INR,TRANSFER,"1,500.00",INR,Cash,"1,500.00",INR,No-description,None
89,16-06-2024,Tickets,Bills & Fees,Salary Bank,"1,702.70",INR,EXPENSE,0,None,None,0,None,No-description,None
90,15-06-2024,Baba,Bills & Fees,Salary Bank,500,INR,EXPENSE,0,None,None,0,None,No-description,None
91,14-06-2024,Petrol,Transport,Cash,100,INR,EXPENSE,0,None,None,0,None,No-description,None
92,14-06-2024,Sriya payback,Bills & Fees,Cash,100,INR,INCOME,0,None,None,0,None,No-description,None
93,14-06-2024,Petrol,Transport,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
94,13-06-2024,Snacks,Food & Drinks,Salary Bank,208.5,INR,EXPENSE,0,None,None,0,None,No-description,None
95,13-06-2024,Petrol,Transport,Salary Bank,200,INR,EXPENSE,0,None,None,0,None,No-description,None
96,11-06-2024,Chips,Food & Drinks,Salary Bank,10,INR,EXPENSE,0,None,None,0,None,No-description,None
97,10-06-2024,Breakfast,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
98,09-06-2024,Petrol,Transport,Salary Bank,200,INR,EXPENSE,0,None,None,0,None,No-description,None
99,09-06-2024,Clothes,Bills & Fees,Salary Bank,799,INR,EXPENSE,0,None,None,0,None,No-description,None
100,09-06-2024,Snacks,Food & Drinks,Salary Bank,198.88,INR,EXPENSE,0,None,None,0,None,No-description,None
101,07-06-2024,Baba,Bills & Fees,Salary Bank,500,INR,EXPENSE,0,None,None,0,None,No-description,None
102,07-06-2024,Snacks,Food & Drinks,Salary Bank,90,INR,EXPENSE,0,None,None,0,None,No-description,None
103,07-06-2024,Sriya,Bills & Fees,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
104,07-06-2024,Petrol,Transport,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
105,07-06-2024,Karthik payback,Bills & Fees,Salary Bank,200,INR,INCOME,0,None,None,0,None,No-description,None
106,07-06-2024,Karthik payback,Bills & Fees,Cash,100,INR,INCOME,0,None,None,0,None,No-description,None
107,05-06-2024,Grocery,Bills & Fees,Salary Bank,175,INR,EXPENSE,0,None,None,0,None,No-description,None
108,05-06-2024,Netflix,Bills & Fees,Savings Bank,200,INR,EXPENSE,0,None,None,0,None,No-description,None
109,05-06-2024,Settlement,Bills & Fees,Salary Bank,0,INR,TRANSFER,"2,175.00",INR,Savings Bank,"2,175.00",INR,No-description,None
110,05-06-2024,Salary,Bills & Fees,Salary Bank,"11,688.00",INR,INCOME,0,None,None,0,None,No-description,None
111,05-06-2024,Snacks,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
112,05-06-2024,Adjust balance,Unknown,Cash,67,INR,EXPENSE,0,None,None,0,None,No-description,None
113,05-06-2024,Chotu,Bills & Fees,Savings Bank,155,INR,EXPENSE,0,None,None,0,None,No-description,None
114,05-06-2024,Adjust balance,Unknown,Salary Bank,10,INR,EXPENSE,0,None,None,0,None,No-description,None
115,05-06-2024,Netflix,Bills & Fees,Salary Bank,199,INR,EXPENSE,0,None,None,0,None,No-description,None
116,05-06-2024,Netflix,Bills & Fees,Salary Bank,200,INR,INCOME,0,None,None,0,None,No-description,None
117,05-06-2024,Category Expense,Bills & Fees,Salary Bank,70,INR,INCOME,0,None,None,0,None,No-description,None
118,04-06-2024,Baba,Bills & Fees,Salary Bank,200,INR,EXPENSE,0,None,None,0,None,No-description,None
119,03-06-2024,Snacks,Food & Drinks,Cash,90,INR,EXPENSE,0,None,None,0,None,No-description,None
120,03-06-2024,Goje,Bills & Fees,Savings Bank,300,INR,EXPENSE,0,None,None,0,None,No-description,None
121,03-06-2024,Petrol,Transport,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
122,31-05-2024,Biryani,Food & Drinks,Savings Bank,520,INR,EXPENSE,0,None,None,0,None,No-description,None
123,31-05-2024,Adjust balance,Unknown,Salary Bank,54,INR,EXPENSE,0,None,None,0,None,No-description,None
124,31-05-2024,Juice,Food & Drinks,Salary Bank,30,INR,EXPENSE,0,None,None,0,None,No-description,None
125,31-05-2024,Petrol,Transport,Salary Bank,100,INR,EXPENSE,0,None,None,0,None,No-description,None
126,31-05-2024,Smthng,Bills & Fees,Cash,10,INR,EXPENSE,0,None,None,0,None,No-description,None
127,30-05-2024,Pizza,Food & Drinks,Salary Bank,190,INR,EXPENSE,0,None,None,0,None,No-description,None
